Borough;2019;2020;2021;2022;2023;2024
Barking and Dagenham; 7,045 ; 4,945 ; 8,648 ; 36,927 ; 36,683 ; 53,058 
Barnet; 10,142 ; 6,914 ; 10,341 ; 39,237 ; 32,564 ; 35,147 
Bexley; 4,112 ; 2,843 ; 4,428 ; 21,512 ; 18,849 ; 33,267 
Brent; 10,460 ; 7,405 ; 12,863 ; 57,399 ; 39,886 ; 49,036 
Bromley; 5,029 ; 3,359 ; 5,245 ; 19,626 ; 19,138 ; 27,391 
Camden; 5,690 ; 3,374 ; 4,235 ; 12,829 ; 8,820 ; 7,158 
City of London; 233 ; 169 ; 104 ; 215 ; 406 ; 570 
Croydon; 10,237 ; 7,063 ; 10,329 ; 37,525 ; 37,484 ; 52,929 
Ealing; 8,681 ; 5,595 ; 9,384 ; 34,654 ; 26,864 ; 33,624 
Enfield; 9,300 ; 6,109 ; 13,657 ; 71,499 ; 64,534 ; 79,676 
Greenwich; 6,614 ; 4,223 ; 7,119 ; 30,578 ; 26,771 ; 37,827 
Hackney; 6,302 ; 4,513 ; 8,087 ; 30,551 ; 22,609 ; 21,557 
Hammersmith and Fulham; 4,480 ; 2,966 ; 4,446 ; 13,297 ; 8,747 ; 9,174 
Haringey; 8,592 ; 6,022 ; 12,373 ; 64,221 ; 52,354 ; 52,783 
Harrow; 5,581 ; 3,765 ; 5,905 ; 23,803 ; 23,999 ; 34,895 
Havering; 4,687 ; 3,333 ; 5,434 ; 22,327 ; 22,391 ; 38,400 
Hillingdon; 6,227 ; 4,247 ; 6,499 ; 21,607 ; 28,399 ; 52,192 
Hounslow; 6,032 ; 3,947 ; 5,836 ; 19,749 ; 22,354 ; 31,458 
Islington; 6,986 ; 5,015 ; 5,591 ; 19,962 ; 13,825 ; 14,271 
Kensington and Chelsea; 4,614 ; 3,249 ; 3,883 ; 10,569 ; 7,964 ; 6,963 
Kingston upon Thames; 2,663 ; 1,810 ; 2,295 ; 8,748 ; 10,306 ; 15,221 
Lambeth; 9,999 ; 6,984 ; 8,630 ; 28,183 ; 19,835 ; 22,148 
Lewisham; 9,226 ; 5,733 ; 9,006 ; 33,008 ; 24,762 ; 28,838 
Merton; 4,907 ; 3,179 ; 4,207 ; 14,599 ; 13,883 ; 21,709 
Newham; 10,088 ; 7,310 ; 14,878 ; 61,859 ; 49,644 ; 45,165 
Redbridge; 7,867 ; 5,060 ; 10,031 ; 43,409 ; 39,038 ; 47,181 
Richmond upon Thames; 2,811 ; 1,995 ; 2,643 ; 8,311 ; 6,336 ; 7,994 
Southwark; 10,828 ; 7,849 ; 9,619 ; 27,709 ; 18,517 ; 16,286 
Sutton; 2,965 ; 2,005 ; 2,406 ; 9,084 ; 11,972 ; 19,438 
Tower Hamlets; 7,338 ; 5,141 ; 8,210 ; 29,502 ; 22,415 ; 19,527 
Waltham Forest; 6,610 ; 4,951 ; 10,292 ; 45,844 ; 34,915 ; 40,623 
Wandsworth; 7,128 ; 5,029 ; 6,237 ; 18,886 ; 11,149 ; 14,388 
Westminster; 7,711 ; 5,924 ; 7,634 ; 16,930 ; 12,358 ; 13,025 
